clinicName,website,city,province,score,tier,email,contactPage,method,status,subject
"Cosmetic & Family Dentist","http://dfdentistry.ca/","Vaughan","ON","6","B","dfdentistry3300@gmail.com","","manual","followup_2_sent","Quick question for Cosmetic & Family Dentist"
"Bathurst-Steeles Dental","https://www.bathurst-steelesdental.com/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Vaughan","ON","6","B","info@bathurst-steelesdental.com","https://www.bathurst-steelesdental.com/contact-us/","contact_form","bounced","Quick question for Bathurst-Steeles Dental"
"Altima","https://altimascotiaplazadental.com/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Toronto","ON","6","B","scotiaplaza@altima.ca","","manual","followup_2_sent","Quick question for Altima Dental"
"Clareo","https://clareo.ca/wakefield","Ottawa","QC","4","","wakefield@clareo.ca","","email","cooling_off",""
"Aqua","https://aquadentalottawa.ca","Ottawa","ON","4","","info@aquadentalottawa.ca","","email","skip_low_quality",""
"Dr. Robert Segal, Family","https://drsegal.ca","Ottawa","ON","4","","smile@drsegal.ca","","email","already_equipped",""
"Clinique Dentaire Gagné & Rousselle","http://www.aylmerdentaire.ca","Ottawa","ON","4","","info@aylmerdentaire.ca","","email","skip_low_quality",""
"Google Search","https://cliniquedentaireduversant.ca","Ottawa","ON","4","","administration@cliniquedentaireduversant.ca","","email","skip_not_dental",""
"Desired Smiles Dental","https://www.dsdental.ca/burlington/","Hamilton","ON","4","","info@dsdental.ca","","email","sent",""
"Dentist in Hamilton Ontario | Accepting New Patients","https://bartondental.ca/","Hamilton","ON","4","","bartondentaloffice@gmail.com","","email","cooling_off",""
"London Bridge Dental","https://londonbridgedental.ca","London","ON","4","","info@londonbridgedental.com","","email","followup_2_sent",""
"Montreal West Dentistry","https://montrealwestdentistry.com","Montreal","QC","4","","reception@montrealwestdentistry.com","","email","followup_2_sent",""
"River District Dentistry","https://riverdistrictdentistry.com","Vancouver","BC","4","","info@riverdistrictdentistry.com","","email","followup_2_sent",""
"Alpine Dental","https://www.moderndental.ca","Burnaby","BC","4","","Alpine_Dental@Hotmail.com","","email","bounced",""
"Nelson Dental Clinic","https://nelsondentalcentre.com","Burnaby","BC","4","","info@nelsondentalcentre.com","","email","followup_2_sent",""
"Lakeview Dental Clinic","https://lakeviewdentalburnaby.com","Burnaby","BC","4","","lakeviewdentalburnaby@gmail.com","","email","followup_2_sent",""
"East Village Dental","https://eastvillagedental.ca","Calgary","AB","4","","contact@eastvillagedental.ca","","email","followup_2_sent",""
"Inspiration Denture & Implant Solutions","https://inspirationdenture.ca","Calgary","AB","4","","info@inspirationdenture.ca","","email","followup_2_sent",""
"Woodbine Dental","https://woodbinedental.com","Calgary","AB","4","","info@woodbinedental.com","","email","already_equipped",""
"North Edge Dental","https://northedgedental.com","Edmonton","AB","4","","northedgedental@gmail.com","","email","followup_2_sent",""
"Hamptons Dental Studio","https://www.hamptonsdental.ca","Edmonton","AB","4","","hamptonsdental@hotmail.com","","email","followup_2_sent",""
"Marketview Dental","https://www.marketviewdental.com","Winnipeg","MB","4","","marketviewdental@gmail.com","","email","followup_2_sent",""
"306 Dental","https://reginadentist.com","Regina","SK","4","","info@reginadentist.com","","email","followup_2_sent",""
"Physiothérapie Solution Active Verdun","https://www.physiosa.ca","Montreal","QC","4","","info@physiosa.ca","","email","sent",""
"Lawrence Avenue Dental","http://www.smilestoronto.com/","Toronto","ON","","","","","manual","todo",""
"Mason Denture Clinic","https://www.maison-dental.ca/","Toronto","ON","","","Smile@Maison-Dental.ca","","manual","followup_2_sent",""
"One Marine","https://onemarinedental.ca","Toronto","ON","","","onemarinedental@gmail.com","","email","followup_2_sent",""
"Summerville Dentistry | Mississauga | Dr. Amy Fan & Dr. Damian Yung, Family Dentists","https://summervilledentistry.ca","Toronto","ON","","","info@summervilledentistry.ca","","email","skip_low_quality",""
"King East Dental Toronto","https://kingeastdental.com/","Toronto","ON","","","info@kingeastdental.com","","manual","followup_2_sent",""
"Downsview Plaza Dental","http://dpdo.ca/","Toronto","ON","","","info@dpdo.ca","","manual","sent",""
"Davisville Family","https://davisvillefamilydentistry.com/?utm_source=gmb&utm_medium=organic","Toronto","ON","","","info@davisvillefamilydentistry.com","","manual","sent",""
"Bathurst Dundas Dental Centre","https://bathurstdundasdentalcentre.com/","Toronto","ON","","","info@bathurstdundasdentalcentre.com","","manual","followup_2_sent",""
"Wellesley Dental Centre","https://www.cwdentalcentre.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Toronto","ON","","","info@cwdentalcentre.com","","manual","bounced",""
"Orthodontics On Bloor – Dr. Miroslava Brankovan","https://orthodonticsonbloor.com","Toronto","ON","","","info@orthodonticsonbloor.com","","email","skip_low_quality",""
"Dentists on Bloor","https://www.dentistsonbloor.ca","Toronto","ON","","","bloorstreetdental@gmail.com","","email","followup_2_sent",""
"Galleria Dental","https://www.galleriadental.ca","Toronto","ON","","","info@galleriadental.ca","","email","bounced",""
"Dr. Muyal & Associates","https://www.muyaldentistry.ca","Toronto","ON","","","muyaldentistry@hotmail.ca","","email","skip_duplicate",""
"Dental Centre on Bloor","https://bloordufferindental.com/","Toronto","ON","","","info@bloordufferindental.com","","manual","sent",""
"Chapnick Dental","https://www.chapnickdental.com","Toronto","ON","","","drchapnick@chapnickdental.com","","email","skip_duplicate",""
"OrthoSmiles","https://laskiorthosmiles.com/","Toronto","ON","","","info@laskiorthosmiles.com","","manual","bounced",""
"Eatonville Dental","http://eatonvilledental.com/","Toronto","ON","","","info@eatonvilledental.com","","manual","followup_2_sent",""
"Etobicoke Smiles","https://etobicokesmilesdental.ca","Toronto","ON","","","etobicokesmilesdental@gmail.com","","email","followup_2_sent",""
"Mississauga Smiles Dentistry","https://mississaugasmilesdentistry.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL","Toronto","ON","","","info@mississaugasmilesdentistry.com","","manual","followup_2_sent",""
"Dentistry for Everyone","https://www.dentistryforeveryone.ca/?utm_campaign=gmb","Toronto","ON","","","info@dentistryforeveryone.ca","","manual","followup_2_sent",""
"Cracovia Dental","https://cracoviadental.com/?utm_campaign=gmb","Toronto","ON","","","info@cracoviadental.com","","manual","followup_2_sent",""
"Dundas East Dental","http://www.dundaseastdental.com/","Toronto","ON","","","info@dundaseastdental.com","","manual","followup_2_sent",""
"Elmwood Park Dental","https://dentalclinictoronto.dentist/","Toronto","ON","","","info@dentalclinictoronto.dentist","","manual","followup_2_sent",""
"Dr. Martin Frankel Cosmetic Dentist / SMILES by design","https://drmartyfrankel.ca/","Toronto","ON","","","info@drmartyfrankel.ca","","manual","followup_2_sent",""
"Dr. Lisa Chong","https://drlisachong.com/","Toronto","ON","","","","","manual","todo",""
"The website you are looking for is either under maintenance or has moved","http://gentletouchdentalhygiene.ca","Mississauga","ON","","","","","manual","skip_bad_data",""
"Port Credit Dental","https://portcreditdental.com/","Mississauga","ON","","","info@portcreditdental.com","","manual","followup_2_sent",""
"Credit River Dental Centre","https://www.creditriverdental.com","Mississauga","ON","","","sueellen@creditriverdental.com","","email","cooling_off",""
"Appleday Dental","https://appledaydental.ca/","Mississauga","ON","","","info@appledaydental.ca","","manual","followup_2_sent",""
"Park Haven Dental","https://parkhavendental.ca/","Mississauga","ON","","","info@parkhavendental.ca","","manual","followup_2_sent",""
"Trinity Dental Centre","http://www.trinitydental.ca/","Mississauga","ON","","","info@trinitydental.ca","","manual","followup_2_sent",""
"Dr.T.Shah & Associates","http://www.drtshah.com","Mississauga","ON","","","info@drtshah.com","","email","skip_low_quality",""
"Dr. Pinto & Associates","https://www.drpinto.ca/","Mississauga","ON","","","info@drpinto.ca","","manual","followup_2_sent",""
"Heritage Orthodontics","http://www.heritageorthodontics.com/","Mississauga","ON","","","info@heritageorthodontics.com","","manual","followup_2_sent",""
"Brampton Mississauga Streetsville Cosmetic Dentist","http://dentistryinstreetsville.com/","Mississauga","ON","","","reception@dentistryinstreetsville.com","","manual","followup_2_sent",""
"Britannia Dental Care","https://www.britanniadentalcare.com/","Mississauga","ON","","","reception@britanniadentalcare.com","","email","already_equipped",""
"Dentistry on Britannia","https://www.dentistryonbritannia.com","Mississauga","ON","","","dentistrybritannia@gmail.com","","email","followup_2_sent",""
